ROOT,EKUMENSKI,NATLANG ANCESTRY,AUXLANG ANCESTRY,PART OF SPEECH,ENGLISH
RATAN,ratan,,,n.,rattan
RAUK,rauki,,,adj.,"hoary, hoarse"
RAUK,rauknis,,,n.,hoarseness
RAUŠE,rauše,G,,v.,rustle
RAVISENTI,ravisenti,,,adj.,ravishing
RAZUM,razum,S,,n.,"reason (power of the mind to understand; cf. rezon, motiv)"
RAZUM,razumabli,,,adj.,understandable
RAZUM,razumablinis,,,n.,understandability
RAZUM,razume,,,v.,understand
RAZUM,razumli,,,adj.,reasonable
RAZUM,razumnis,,,n.,understanding
REAKT,reakte,,,v.,react
REAKT,reaktivi,,,adj.,reactive
REAKT,reaktnis,,,n.,reaction
REAL,reali,,,adj.,real
REAL,realim,,,adv.,really
REAL,realismo,,,n.,realism
REAL,realnis,,,n.,reality
REBLIK,reblik,G,,n.,"review, retrospective; retrospect, flashback"
REBLIK,reblike,,,v.,look back
RECENSNIS,recensnis,,,n.,recension
RECEPT,recept,,,n.,receipt; recipe
RECEPT,recepte,,,v.,receive
RECEPT,recepter,,,n.,"recipient, receiver"
RECEPTION,reception,,,n.,reception (hotel)
RECIN,recin,,,n.,resin
RECIPROK,reciproki,,,adj.,mutual
RECIPROK,reciproknis,,,n.,mutuality
RED,red,G,,n.,roadstead
REDAKTE,redakte,,,v.,edit (change a text or document)
REDAKTE,redakter,,,n.,editor
REDAKTE,redakteria,,,n.,editorial staff
REDAKTE,redakterija,,,n.,"newsroom, editorial office"
REDAKTE,redaktnis,,,n.,editing
REDUKT,reduktabli,,,adj.,"reduceable, reducible"
REDUKT,redukte,,,v.,reduce
REDUKT,reduktnis,,,n.,reduction
REDUNDANT,redundanti,,,adj.,redundant
REDUNDANT,redundantnis,,,n.,redundance
REFLEKT,reflekte,,,v.,reflect
REFLEKT,reflektnis,,,n.,reflection
REFLUX,reflux,,,n.,low tide
REFORM,reform,,,n.,reform
REFORM,reformabli,,,adj.,reformable
REFORM,reforme,,,v.,reform
REFORM,reformer,,,n.,reformer
REFREŠ,refreše,,,v.,refresh
REFREŠ,"refrešenti, refrešivi",,,adj.,refreshing
REFREŠ,refrešnis,,,n.,refreshment
REFUZ,refuzabli,,,adj.,refusable
REFUZ,refuze,,,v.,"refuse, refute, repudiate"
REFUZ,refuznis,,,n.,"refusal, repudiation"
REG,rege,,,v.,"rule, govern"
REG,regent,,,n.,regent
REG,reger,,,n.,ruler
REG,regia,,,n.,empire
REG,regnis,,,n.,government
REGENER,regenerabli,,,adj.,regenerable
REGENER,regenere,,,v.,regenerate
REGENER,regenernis,,,n.,regeneration
REGIMENT,regiment,,,n.,regiment
REGION,region,,,n.,region
REGION,regionli,,,adj.,regional
REGRET,regret,,,n.,regret
REGRET,"regretabli, regretandi",,,adj.,regrettable
REGRET,regrete,,,v.,regret
REGUL,regul,,,n.,rule
REGUL,regulabli,,,adj.,regulable
REGUL,regulari,,,adj.,regular
REGUL,regule,,,v.,regulate
REGUL,regulnis,,,n.,regulation; breke di regul(es) break the rule(s)
REHABILIT,rehabilite,,,v.,rehabilitate
REHABILIT,rehabilitnis,,,n.,rehabilitation
REJ,rej,G,,n.,row
REJ,di rej e ad nos,G,,expr.,it’s our turn
REJA,reja,S,,n.,yard (tapered timber from which square sails hang)
REJN,rejn,G,,n.,rain
REJN,rejndej,,,n.,rainy day
REJN,rejndrop,,,n.,raindrop
REJN,rejne,,,v.,rain
REJN,rejnforest,,,n.,rain forest
REJN,rejnivi,,,adj.,rainy
REJN,rejnlet,,,n.,shower (brief rain)
REJN,rejnmantel,,,n.,raincoat
REJN,rejnširm,,,n.,umbrella
REJS,rejs,,,n.,race (competition; cf. ras)
REKLAMA,reklama,,,n.,advertisement
REKOLT,rekolt,,,n.,harvest
REKOLT,rekolte,,,v.,harvest
REKOMAND,"rekomandabli, rekomandverdi",,,adj.,recommendable
REKOMAND,rekomande,,,v.,recommend
REKOMAND,rekomandnis,,,n.,recommendation
REKORD,rekord,,,n.,record
REKORD,rekordabli,,,adj.,recordable
REKORD,rekorde,,,v.,record
REKORD,rekorder,,,n.,recorder
REKORD,rekordnis,,,n.,recording
REKT,rektangul,,,n.,rectangle
REKT,rektangulari,,,adj.,rectangular
REKT,rekti,,,adj.,straight (not bent)
REKT,rektnis,,,n.,straightness
REKUPER,rekupere,,,v.,recover (from illness or suffering)
REKURS,rekurse,,,v.,"recur (return, run/hasten back)"
REKURS,rekursnis,,,n.,recurrence
RELAT,relatabli,,,adj.,relatable
RELAT,relate,,,v.,relate
RELAT,relativi,,,adj.,relative
RELAT,relativnis,,,n.,relativity
RELAT,relatnis,,,n.,relation
RELAX,relaxe,,,v.,relax
RELAX,relaxnis,,,n.,relaxation
RELEG,relege,,,v.,relegate
RELEJ,relej,,,n.,relay
RELEJ,relejstacion,,,n.,relay station
RELEV,releve,,,v.,relieve
RELEV,releventi,,,adj.,relieving
RELEV,relevnis,,,n.,relief
RELEVANT,relevanti,,,adj.,relevant
RELEVANT,relevantnis,,,n.,relevance
RELIEF,relief,,,n.,"relief (carving, moulding)"
RELIEF,reliefkart,,,n.,relief map
RELIGION,religion,,,n.,religion
RELIGION,religionli,,,adj.,religious
RELIZ,relize,,,v.,release
RELUKT,relukte,,,v.,reluct
RELUKT,"reluktenti, reluktivi",,,adj.,reluctant
RELUKT,reluktnis,,,n.,reluctance
REM,rem,,,n.,"oar, rudder"
REM,reme,,,v.,row
REMARK,remark,,,n.,remark
REMARK,remarkabli,,,adj.,remarkable
REMARK,remarke,,,v.,remark
REND,rende se,,,v.,surrender
REND,rendnis,,,n.,surrender
RENOV,renovabli,,,v.,renewable
RENOV,renove,,,v.,renew
RENOV,renovnis,,,n.,renewal
RENT,rent,,,n.,rent
RENT,rentabli,,,adj.,rentable
RENT,rente,,,v.,rent
RENUNS,renunse,,,v.,"relinquish, renounce"
RENUNS,renunsnis,,,n.,"relinquishment, renouncement"
REP,rep,G,,n.,rope
REPA,repa,"S,U",,n.,turnip
REPAR,reparabli,,,adj.,repairable
REPAR,repare,,,v.,repair
REPAR,reparnis,,,n.,repair
REPET,repetabli,,,adj.,repeatable
REPET,repete,,,v.,repeat
REPET,repetnis,,,n.,repetition
REPORT,report,,,n.,report
REPORT,reporte,,,v.,report
REPORT,reporter,,,n.,reporter
REPREZENT,reprezentabli,,,adj.,representable
REPREZENT,reprezente,,,v.,represent
REPREZENT,reprezenter,,,n.,representative
REPREZENT,reprezentnis,,,n.,representation
REPROBE,reprobe,,,v.,reprove
REPTE,repte,,,v.,"creep, crawl"
REPTIL,reptil,,,n.,reptile
REPUBLIK,republik,,,n.,republic
REPUBLIK,republikli,,,adj.,republican
REPULS,repuls,,,n.,recoil
RESIST,resistabli,,,v.,resistible
RESIST,resiste,,,v.,resist
RESIST,resistivi,,,adj.,reluctant
RESIST,resistnis,,,n.,resistance
RESPEKT,respekt,,,n.,respect
RESPEKT,respektabli,,,adj.,respectable
RESPEKT,respektablinis,,,n.,respectability
RESPEKT,respekte,,,v.,respect
RESPEKT,respektlesi,,,adj.,disrespectful
RESPEKT,respektlesnis,,,n.,disrespect
RESPEKT,respektozi,,,adj.,respectful
RESPONS,respons,,,n.,"response, answer, reply"
RESPONS,responsabli,,,adj.,responsible
RESPONS,responsablinis,,,n.,responsability
RESPONS,response,,,v.,"respond, answer, reply"
REST,rest,,,n.,"rest, remainder, remnant"
REST,reste,,,v.,"stay, remain"
RESTORANT,restorant,,,n.,restaurant
RESTRIKT,restrikte,,,v.,restrict
RESTRIKT,restriktivi,,,adj.,restrictive
RESTRIKT,restriktnis,,,n.,restriction
RESTUP,restup,,,n.,resignation
RESTUP,restupe,,,v.,resign
RESULT,result,,,n.,result
RESULT,resulte,,,v.,result
RESUM,resume,,,v.,"resume, sum up"
RESUM,resumnis,,,n.,resumée
RESURS,resurs,,,n.,resource
RESURS,resursozi,,,adj.,resource-rich
RET,ret,G,,n.,right; law
RET,retli,,,adj.,legal
RET,humanret,,,n.,human right
RETARD,retarde,,,v.,delay
RETARD,retardnis,,,n.,delay
RETRAKT,retrakt,,,n.,withdrawal
RETRAKT,retrakte se,,,v.,withdraw
RETRO,retro,,,adv.,"back, backwards"
RETRO,retrokont,,,n.,countdown
RETURN,return,,,n.,return
RETURN,returne,,,v.,return
REVARD,revarde,,,v.,reward
REVARD,revardnis,,,n.,reward
REVERS,revers,,,adv.,backwards
REVERS,reversabli,,,adj.,reversible
REVERS,reverse,,,v.,reverse
REVERS,reversnis,,,n.,reversal
REVIN,revin,,,n.,revenge
REVIN,revine,,,v.,avenge
REVIN,reviner,,,n.,avenger
REVIN,"revinivi, revinasi",,,adj.,"revengeful, vindictive"
REVIN,revinivnis,,,n.,vindictiveness
REVIV,revive,,,v.,revive
REVIV,revivnis,,,n.,revival
REVOK,revoke,,,v.,revoke
REVOK,revoknis,,,n.,revocation
REVOLT,revolt,,,n.,revolt
REVOLT,revolte,,,v.,revolt
REVOLUCION,revolucion,,,n.,revolution
REVOLUCION,"revolucioner, revolucionist",,,n.,revolutioner
REX,rex,,(UG=),n.,"king, queen"
REX,rexa,,,n.,queen
REX,rexia,,,n.,kingdom
REX,rexli,,,adj.,royal
REX,rexo,,,n.,king
REX,Unizeni Rexia,,,n.,United Kingdom
REZON,rezon,,,n.,"reason (cause, justification; cf. motiv, razum)"
REZON,rezone,,,v.,give a reason
REŽIM,režim,,,n.,regime
REŽIM,režimkritik,,,n.,regime criticism
REŽIM,režimtrok,,,n.,regime change
RID,ride,G,,v.,ride (on a horse etc.)
RID,rider,,,n.,rider
RIF,rif,G,,n.,reef
RIFT,rift,,,n.,rift
RIK,riki,,(UG=),adj.,rich
RIK,rikize,,,v.,enrich
RIK,rikiznis,,,n.,enrichtment
RIK,riknis,,,n.,richness
RIKOVERTE,rikoverte,,,v.,recover (cover again; cf. rekupere)
RIND,rind,,,n.,(head of) cattle
RIND,rindflajš,,,n.,beef
RIND,rindgreg,,,n.,herd of cattle
RIND,rindkid,,,n.,calf (young cow)
RIND,rindstejk,,,n.,beef steak
RING,ring,G,,n.,ring
RINOCEROS,rinoceros,,,n.,rhinoceros
RINSE,rinse,,,v.,"rinse, flush"
RIP,rip,G,(UG=),n.,rib
RISK,risk,,,n.,risk
RISK,riske,,,v.,risk
RISK,riskivi,,,adj.,"daring, bold"
RISK,riskivnis,,,n.,"boldness, audacity"
RIT,rito,,,n.,rite
RIT,ritual,,,n.,ritual
RIT,ritualiki,,,adj.,ritual
RITM,ritmiki,,,adj.,rhythmic
RITM,ritmo,,,n.,rhythm
RIVAL,rival,,,n.,rival
RIVAL,rivale,,,v.,rival
RIVAL,rivalnis,,,n.,rivalry
ROBOT,robot,,,n.,robot
ROBOT,robotik,,,n.,robotics
ROJSPRE,rojspre se,G,,v.,clear throat
ROK,rok,,,n.,rock
ROK,rokkoncert,,,n.,rock concert
ROK,"rokli, rokozi",,,adj.,rocky
ROK,rokmuzik,,,n.,rock music
ROK,roknis,,,n.,cobble
ROK,roksinger,,,n.,rock singer
ROL,rol,,,n.,"roll, reel, spool; tube"
ROL,rola,,,n.,"role (film, theater; sociology)"
ROL,rolamodel,,,n.,role model
ROL,role,,,v.,roll
ROMANIKI,romaniki,,,adj.,Romance
ROMANS,romans,,,n.,romance (love romance)
ROMANTIK,romantik,,,n.,romanticism
ROMANTIK,romantiker,,,n.,"romantic, romanticist"
ROMANTIK,romantikli,,,adj.,romantic
RONČ,ronč,U,,n.,wreck
ROND,ronda,,,n.,round
ROND,rondi,,,adj.,round
ROND,rondnis,,,n.,roundness
ROR,rore,,,v.,roar
ROST,rost,G,,n.,rust
ROST,roste,,,v.,rust
ROST,rostli,,,adj.,rusty
ROT,rot,,,n.,wheel
ROT,rotate,,,v.,rotate
ROT,rotatnis,,,n.,rotation
ROZA,roza,,,n.,rose
ROZE,roze,,,v.,gnaw
ROZIN,rozin,,,n.,raisin
RUB,rubeski,,,adj.,reddish
RUB,rubi,,,adj.,red
RUB,rubin,,,n.,ruby
RUBENKA,rubenka,S,,n.,robin (bird)
RUD,rudi,,,adj.,rude
RUD,rudnis,,,n.,rudeness
RUG,rugi,,,adj.,rough
RUG,rugnis,,,n.,roughness
RUIN,ruin,,,n.,ruin (sth. which leads to serious troubles)
RUIN,ruina,,,n.,ruin (remains of a destroyed construction)
RUIN,ruine,,,v.,ruin
RUJS,rujs,U,,n.,rye
RUM,rum,,,n.,rum
RUM,rum-,,,pref.,"… [verb] around (aimlessly), e. g. rumkurse = run around"
RUMBLE,rumble,G,,v.,rumble
RUMP,rump,,,n.,rump
RUMP,rumpstejk,,,n.,rumpsteak
RUNA,runa,,,n.,rune
RUPT,rupte,,,v.,"rip, tear"
RURA,rura,,,n.,countryside
RURA,rurali,,,adj.,rural
RUST,rust,G,,n.,"rest (relief, peace, tranquility)"
RUST,ruste,,,v.,rest
RUST,ruste in pax,,,expr.,rest in peace
RUST,rustlesi,,,adj.,restless
RUT,rut,,,n.,route
SABLA,sabla,,,n.,sabre
SABOTAŽ,sabotaža,,,n.,sabotage
SABOTAŽ,sabotaže,,,v.,sabotage
SABOTAŽ,sabotažer,,,n.,saboteur
SAFIR,safir,,,n.,sapphire
SAGA,saga,G,,n.,saga
SAJD,sajd,G,,n.,side
SAJD,sajdefekt,,,n.,side effect
SAJD,sajdkoza,,,n.,side issue
SAJD,sajdvers,,,adv.,sideward
SAJNTOLOGIA,sajntologia,,,n.,scientology
SAK,sak,,,n.,bag
SAL,sal,,,n.,salt
SAL,salli,,,adj.,salty
SAL,salvoda,,,n.,saltwater
SALAMANDRA,salamandra,,,n.,salamander
SALAR,salar,,,n.,"salary, wage"
SALAR,mindestsalar,,,n.,minimum wage
SALAT,salat,,,n.,salad
SALM,salm,,,n.,salmon
SALMIAK,salmiak,,,n.,salammoniac
SALV,salve,,,v.,"save (from danger; cf. spare), rescue"
SALV,salver,,,v.,savior
SALV,salvnis,,,n.,"salvation, rescue"
SALVAŽ,salvaži,,,adj.,savage
SALVAŽ,salvažin,,,n.,savage
SALVIA,salvia,,,n.,salvia
SAMBA,samba,,,n.,samba
SAMET,samet,"S,G",,n.,velvet (> samt?)
SAMI,sami,,,adj.,"Sami, Saami"
SAND,sand,G,(UG=),n.,sand
SAND,sandbank,,,n.,sandbank
SAND,sandli,,,adj.,sandy
SAND,sandlit,,,n.,sandstone
SAND,sandstorm,,,n.,sandstorm
SAND,sandstrat,,,n.,sand layer
SANGIN,sangin,,,n.,sanguine (red pigment) > rubkreda?
SANT,santi,,,adj.,"holy, saint"
SANT,santin,,,n.,saint
SANT,santnis,,,n.,"holiness, holyness"
SAPR,sapri,,,adj.,"foul, rotten"
SAPR,saprinis,,,n.,rottenness
SAPR,sapriske,,,v.,rot
SARKL,sarkle,,,v.,weed
SATELIT,satelit,,,n.,satellite
SATISFAKT,satisfakte,,,v.,satisfy
SATISFAKT,satisfaktnis,,,n.,satisfaction
SATURN,Saturn,,,n.,Saturn
SAV,savi,,,adj.,wise
SAV,savnis,,,n.,wisdom
SECESNIS,secesnis,,,n.,secession
SED,sed,,,n.,seat
SED,sedate,,,v.,"sedate, sooth"
SED,sedate se,,,v.,calm down
SED,sedbelt,,,n.,seatbelt
SED,sede,,,v.,sit
SEDEF,sedef,"T,S",,n.,"nacre, mother-of-pearl"
SEDL,sedla,"S,G",,n.,saddle
SEDL,sedle,,,v.,saddle
SEDUKT,seduktabli,,,adj.,"seducible, seduceable"
SEDUKT,sedukte,,,v.,seduce
SEDUKT,seduktera,,,n.,seductress
SEDUKT,seduktero,,,n.,seductor
SEDUKT,seduktivi,,,adj.,seductive
SEDUKT,seduktnis,,,n.,seduction
SEG,seg,,,n.,saw
SEG,sege,,,v.,saw
SEG,"segerija, segmolin",,,n.,sawmill
SEJL,sejl,G,,n.,sail
SEJL,sejldrap,,,n.,sailcloth
SEJL,sejle,,,v.,sail
SEJL,sejlfakter,,,n.,sailmaker
SEJL,sejlskaf,,,n.,sailship
SEJSM,sejsme,H,,v.,shake
SEJSM,sejsmologia,,,n.,seismology
SEJSM,sejsmometer,,,n.,seismometer
SEK,seki,,,adj.,dry
SEK,sekize,,,v.,dry
SEK,seknis,,,n.,dryness
SEKCION,sekcion,,,n.,section
SEKL,sekli,B,,adj.,shallow
SEKL,seklinis,,,n.,shallowness
SEKRET,sekret,,,n.,secret
SEKRET,sekretar,,,n.,secretary
SEKRET,sekretard,,,n.,mystery monger
SEKRET,sekretli,,,adj.,secret
SEKRET,sekretservis,,,n.,secret service
SEKTA,sekta,,,n.,sect
SEKULARI,sekulari,,,adj.,secular
SEKULARI,sekulariznis,,,n.,secularization
SEKUND,sekund,,,n.,second
SEKUR,sekuri,,,adj.,"safe, secure"
SEKUR,sekurize,,,v.,"safeguard, secure"
SEKUR,sekurnis,,,n.,"safety, security"
SEKUR,sekurnisservis,,,n.,security service
SELEKT,selekte,,,v.,"select, pick, choose"
SELEKT,selektnis,,,n.,"selection, choice"
SELEN,selen,,,n.,selenium
SELF,self,G,,adv.,self
SELF,selfcid,,,n.,(= suicid) suicide
SELF,selfdefens,,,n.,self-defense
SELF,selfdestruktnis,,,n.,self-destruction
SELF,selfdut,,,n.,self-doubt
SELF,selfexplikenti,,,adj.,self-explaining
SELF,selfkonfidnis,,,n.,self-confidence
SELF,selflesi,,,adj.,selfless
SELF,selflesnis,,,n.,selflessness
SELF,selfnogenti,,,adj.,self-sufficient
SELF,selfnognis,,,n.,self-sufficiency
SEM,sem,,,n.,seme
SEMAFOR,semafor,,,n.,traffic light
SEMANTE,semante,,,v.,mean
SEMANTE,semantik,,,n.,semantics
SEMANTE,semantlesi,,,adj.,meaningless
SEMANTE,semantnis,,,n.,meaning
SEMANTE,semantozi,,,adj.,meaningful
SEMANTE,semem,,,n.,sememe
SEMANTE,semiotik,,,n.,semiotics
SEMBLE,semble,,,v.,seem
SEMBLE,semblentim,,,adv.,seemingly
SEMIN,semin,,,n.,seed
SEMINAR,seminar,,,n.,workshop (intensive course of education; cf. fakterija)
SEMINE,semine,,,v.,sow
SEMITI,semiti,,,adj.,Semitic
SEMOL,semol,,,n.,semolina
SEMPER,semper,,,adv.,always
SEMPER,semper od to,,,expr.,ever since
SEMPER,semperli,,,adj.,eternal
SEMPER,semperlim,,,adv.,eternally
SEMPER,sempernis,,,n.,eternity
SEN,sen,,,conj.,without
SENA,sena,,,n.,scene
SENAT,senat,,,n.,senate
SENAT,senator,,,n.,senator
SENF,senf,G,(UG=),n.,mustard
SENS,sens,,,n.,sense
SENS,sense (se),,,v.,feel
SENS,sensivi,,,adj.,sensitive
SENS,senslesi,,,adj.,senseless
SENS,sensnis,,,n.,feeling
SEP,sep,,,num.,seven
SEP,sepdes,,,num.,seventy
SEP,septi,,,adj.,seventh
SEPAR,separabli,,,adj.,separable
SEPAR,separe,,,v.,separate
SEPAR,separnis,,,n.,separation
SEPTEMBER,september,,,n.,September
SEPTRO,septro,,,n.,sceptre
SERIA,seria,,,n.,series
SERP,serp,,,n.,snake (> snejk?)
SERV,serve,,,v.,serve
SERV,server,,,n.,servant; server (computer)
SERV,servis,,,n.,service (provide services as economic activity)
SERV,servnis,,,n.,service (be of assistance to so.)
SERŽANT,seržant,,,n.,sergeant
SESTRA,sestra,S,,n.,sister
SESTRA,sestrali,,,adj.,sisterly
SET,set,G,,n.,set
SET,sete,,,v.,set
SEX,sex,,,n.,sex
SEX,"sexli, sexuali",,,adj.,sexual
SEX,"sexnis, sexualnis",,,n.,sexuality
SEZAM,sezam,,,n.,sesame
SEZON,sezon,,,n.,season
SEZON,sezonli,,,adj.,seasonal
SFINX,sfinx,H,,n.,sphinx
SI,si,,,conj.,"if, whether"
SIDRA,sidra,,,n.,cider (beverage)
SIFL,sifle,,,v.,whistle
SIGIL,sigil,,,n.,seal (stamp; cf. fok)
SIGIL,sigile,,,v.,seal
SIGN,signa,,,n.,sign
SIGN,signal,,,n.,signal
SIGN,signalflag,,,n.,pennant
SIGN,signat,,,n.,signature
SIGN,signate,,,v.,sign
SILAB,silab,,,n.,syllable
SILBER,silber,G,,n.,silver
SILBER,silbermina,,,n.,silver mine
SILFA,silfa,U,,n.,elm (tree)
SILICIUM,silicium,,,n.,silicon
SILIKON,silikon,,,n.,silicone
SILK,silk,G,,n.,silk
SILK,silkvej,,,n.,silk road
SILM,silm,U,,n.,eye
SILM,silmbrova,,,n.,eyebrow
SILM,silmkapter,,,n.,eyecatcher
SILM,silmlid,,,n.,eyelid
SILM,silmtestimon,,,n.,eyewitness
SILO,silo,,,n.,silo
SILT,silt,,,n.,silt
SILUET,siluet,,,n.,silhouette
SIMIL,simili,,,adj.,similar
SIMIL,similnis,,,n.,similarity
SIMPATIA,simpatia,,,n.,sympathy
SIMPATIA,simpatiali,,,adj.,"friendly, likeable, nice"
SIMPL,simpli,,,adj.,simple
SIMPL,simplim,,,adv.,simply
SIMPL,simplizabli,,,adj.,simplifiable
SIMPL,simplize,,,v.,simplify
SIMPL,simpliznis,,,n.,simplification
SIMPL,simplnis,,,n.,simplicity
SINAGOG,sinagog,,,n.,synagogue
SIND,sind,G,(UG=),n.,sin
SIND,sinde,,,v.,sin
SIND,sinder,,,n.,sinner
SINDIKAT,sindikat,,,n.,syndicate
SINFONIA,sinfonia,,,n.,symphony
SINFONIA,sinfoniali,,,adj.,symphonic
SING,singe,G,,v.,sing
SING,singer,,,n.,singer
SINGUL,singuli,,,adj.,single
SINGUL,singulnoxiada,,,n.,one-night-stand
SINICA,sinica,S,,n.,tit (bird)
SINK,sinke,G,,v.,sink
SINKOP,sinkop,,,n.,syncope
SINOLOGIA,sinologia,,,n.,Sinology
SINTETIK,sintetik,,,n.,synthetics
SINTETIK,sintetikfibra,,,n.,synthetic fibre
SINTETIK,sintetikli,,,adj.,synthetic
SINTETIK,sintetiklingua,,,n.,constructed language
SINTEZA,sinteza,H,,n.,synthesis
SINTOM,sintom,H,,n.,symptom
SINTOM,sintomli,,,adj.,symptomatic
SIONISMO,sionismo,,,n.,zionism
SIPE,sipe,G,,v.,sip
SIRUP,sirup,,,n.,syrup
SISIK,sisik,G,,n.,siskin
SISTEM,sistem,,,n.,system
SISTEM,sistematik,,,n.,systematics
SISTEM,sistematikli,,,adj.,systematic
SISTEM,sistemli,,,adj.,systemic
SIT,sit,,,n.,thirst
SIT,"sitli, sitozi",,,adj.,thirsty
SITU,situ,,,n.,site
SITU,"situacion, situatnis",,,n.,situation
SIX,six,,,num.,six
SIX,sixdes,,,num.,sixty
SIX,sixti,,,adj.,sixth
SJEDL,sjedle,"G,S",,v.,settle (establish a dwelling place)
SJEDL,sjedlenis,,,n.,settlement
SJEDL,sjedler,,,n.,settler
SJENS,sjens,,,n.,science
SJENS,sjens(o)fantastik,,,n.,science-fiction
SJENS,sjensli,,,adj.,scientific
SJEŽ,sježe,,,v.,besiege
SJEŽ,sježer,,,n.,besieger
SJEŽ,sježnis,,,n.,siege
SKA,ska,,,UNDEFINED,UNDEFINED
SKADU,skadu,G,,n.,shadow
SKADU,"skadui, skaduozi",,,adj.,shady
SKAF,skaf,H,,n.,"ship, vessel"
SKAF,skafbrek,,,n.,shipwreck
SKAF,skaflet,,,n.,boat (= bark)
SKAFOLD,skafold,,,n.,scaffold
SKAFOLD,skafoldnis,,,n.,scaffolding
SKAKULEC,skakulec,,,n.,grasshopper
SKALA,skala,,,n.,scale
SKAM,skam,G,,n.,shame
SKAM,skame se,,,v.,be ashamed
SKANDAL,skandal,,,n.,scandal
SKANDAL,"skandaliki, skandalozi",,,adj.,scandalous
SKANS,skans,,,n.,sconce (fortification)
SKAR,skar,G,,n.,scar
SKAR,skarfejs,,,n.,scarface
SKARF,skarf,,,n.,scarf
SKARS,skarsi,,,adj.,scarce
SKARS,skarsnis,,,n.,scarceness
SKART,skart,,,n.,"litter, rubbish, waste, garbage"
SKART,skartvoda,,,n.,wastewater
SKAT,skat,G,,n.,treasure
SKAT,Skatinsul,,,n.,Treasure Island
SKAUT,skaut,,,n.,scout (= padfinder?)
SKEČ,skeč,G,,n.,sketch (comedy; cf. skis)
SKEJP,skejp,G,,n.,sheep
SKEJP,skejpkid,,,n.,lamb
SKEL,skel,G,,n.,shell
SKELET,skelet,,,n.,skeleton
SKERT,skert,C,,n.,skirt
SKID,skid,G,,n.,ski
SKIN,skin,G,,n.,skin
SKIN,skinhed,,,n.,skinhead
SKIN,skinkranknis,,,n.,skin disease
SKIN,skinmedik,,,n.,dermatologist
SKIS,skis,,,n.,sketch (drawing; cf. skeč)
SKIST,skist,,,n.,slate
SKITI,skiti,,,adj.,Scythian
SKIUR,skiur,,,n.,squirrel
SKJOP,skjop,,,n.,"rifle, gun"
SKLAD,sklad,S,,n.,store; save (computer file)
SKLAD,skladabli,,,adj.,storable
SKLAD,sklade,,,v.,store
SKLAD,skladnis,,,n.,storage
SKLAV,sklav,,,n.,slave
SKLAV,sklavnis,,,n.,slavery
SKLEP,sklep,S,,n.,cellar
SKLON,sklon,S,,n.,slope
SKLUZA,skluza,,,n.,lock (segment of a canal)
SKOČ,skoč,,,n.,scotch (whisky)
SKOF,skof,G,,n.,"scoff, derision"
SKOF,skofbild,,,n.,caricature
SKOF,skofe,,,v.,"to scoff, to jeer"
SKOF,skofli,,,adj.,"scornful, mocking"
SKOK,skok,S,,n.,"jump, leap"
SKOK,skoke,,,v.,"jump, leap"
SKOL!,skol!,,,interj.,cheers!
SKOR,skor,,,n.,score
SKOR,skore,,,v.,score
SKORBUT,skorbut,,,n.,scurvy
SKORD,skorde,,,v.,forget
SKORD,skordivi,,,adj.,forgetful
SKORD,skordnis,,,n.,oblivion
SKORPION,skorpion,,,n.,scorpion
SKRAJ,skraj,"G,R",,n.,"scream, cry"
SKRAJ,skrajad/skrajnis,,,n.,clamor
SKRAJ,skraje,,,v.,"scream, cry, shout"
SKRAJKI,skrajki,G,,adj.,shrill
SKRIME,skrime,,,v.,fence
SKRIN,skrin,,,n.,shrine
SKRIPT,skript,,,n.,script
SKRIPT,skriptabli,,,adj.,writ(e)able
SKRIPT,skripte,,,v.,write
SKRIPT,skripter,,,n.,writer (hist. profession)
SKRIPT,skriptil,,,n.,"pencil, pen"
SKRIPT,skriptli,,,adj.,written
SKROLE,skrole,G,,v.,scroll
SKRONJA,skronja,S,,n.,temple (anat.)
SKROT,skrot,,,n.,scrotum
SKRUB,skrub,G,,n.,screw
SKRUB,skrube,,,v.,screw
SKRUPUL,skrupul,,,n.,scruple
SKRUPUL,skrupullesi,,,adj.,unscrupulous
SKUL,skul,,,n.,school
SKUL,skulbuk,,,n.,schoolbook
SKUL,skulhaus,,,n.,schoolhouse
SKULDRA,skuldra,G,,n.,shoulder
SKULP,skulp,"G,R",,n.,guilt
SKULP,skulpli,,,adj.,guilty
SKULPTUR,skulptur,,,n.,sculpture
SKULT,skult,G,,n.,skull (cranium + mandible)
SKUM,skum,,,n.,foam
SKUM,skume,,,v.,foam
SKUM,skumvajn,,,n.,sparkling wine
SKUR,skuri,,,adj.,dark
SKUR,skuria,,,n.,darkness
SKUR,skurnis,,,n.,darkness
SKURP,skurp,"G,R,B",,n.,shoe
SKURP,"skurper, skurpfakter",,,n.,shoemaker
SKURP,skurperija,,,n.,shoe shop
SKURP,skurpfakterija,,,n.,shoemaker’s workshop
SKUTER,skuter,,,n.,scooter
SKVELI,skveli,S,,adj.,"great, marvellous"
SLAJM,slajm,G,,n.,slime
SLAK,slak,G,,n.,slag
SLANG,slang,G,,n.,hose
SLAPSTIK,slapstik,G,,n.,slapstick
SLAV,slavi,,,adj.,Slavic
SLEJ,slej,G,,n.,"sled, sleigh"
SLENG,sleng,G,,n.,slang
SLINA,slina,,,n.,= sput
SLINGE,slinge,G,,v.,UNDEFINED
SLIP,slipe,G,,v.,slip
SLIP,slipgat,,,n.,loophole
